City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mar Del Plata,-38.002278000000004,-57.557539,51.01,70.0,13.0,3.36,AR,1600224365.0
Vaitupu,-13.233333300000002,-176.15,,,,,WF,
Zhigansk,66.769722,123.37111100000001,49.68,61.0,0.0,8.08,RU,1600224623.0
Port Hardy,50.716667,-127.5,64.4,82.0,75.0,2.24,CA,1600224623.0
Labuhan,-6.3784,105.83,87.35,48.0,100.0,3.0,ID,1600224624.0
Okhotsk,59.38333299999999,143.3,55.15,75.0,88.0,15.48,RU,1600224624.0
Busselton,-33.652489,115.345497,60.01,70.0,45.0,5.01,AU,1600224457.0
Hobart,-42.883209,147.331665,63.0,41.0,75.0,18.34,AU,1600224491.0
Arraial Do Cabo,-22.966667,-42.016667,70.5,90.0,78.0,12.91,BR,1600224624.0
Chifeng,42.268333,118.96361100000001,60.48,44.0,11.0,23.76,CN,1600224562.0
Pevek,69.70083299999999,170.313333,43.29,77.0,97.0,5.66,RU,1600224189.0
Radhanpur,23.833333,71.6,85.71,76.0,26.0,8.08,IN,1600224625.0
Doha,29.367778,47.81,91.0,74.0,0.0,3.36,QA,1600224625.0
Karratha,-20.73649,116.84638000000001,94.66,17.0,12.0,5.14,AU,1600224625.0
Chistoye,56.537527000000004,43.004452,46.4,93.0,75.0,8.95,RU,1600224625.0
Turbat,26.002284,63.043994,89.2,11.0,28.0,3.98,PK,1600224626.0
Ponta Do Sol,17.2,-25.1,73.4,69.0,40.0,2.24,CV,1600224626.0
Ribeira Grande,38.516667,-28.7,65.68,61.0,83.0,13.78,PT,1600224626.0
Rudnichnyy,56.0837,86.2517,42.73,96.0,100.0,10.45,RU,1600224626.0
Kodiak,57.79,-152.40722219999998,56.23,90.0,49.0,5.19,US,1600224457.0
Vila,-17.7333333,168.31666669999998,55.99,92.0,37.0,1.99,VU,1600224627.0
Zhanatas,43.566666999999995,69.75,,,,,KZ,
Aden,12.779444400000001,45.036666700000005,87.44,80.0,0.0,11.1,YE,1600224610.0
Grindavik,63.833332999999996,-22.433332999999998,46.4,87.0,90.0,14.99,IS,1600224627.0
Saleaula,-13.433333300000001,-172.33333330000002,,,,,WS,
Lolua,-5.6666667,176.1333333,,,,,TV,
Cabo San Lucas,22.883333,-109.9,84.0,83.0,5.0,14.99,MX,1600224602.0
Veraval,20.9,70.366667,83.08,77.0,45.0,6.93,IN,1600224628.0
Asau,46.433333000000005,26.4,54.0,93.0,0.0,2.21,TV,1600224628.0
Kaitangata,-46.275,169.85,53.01,66.0,90.0,14.0,NZ,1600224628.0
Qasigiannguit,68.8166667,-51.1833333,42.8,60.0,100.0,5.82,GL,1600224629.0
Sobolevo,54.29833299999999,155.96111100000002,53.46,96.0,65.0,1.77,RU,1600224629.0
Chimoio,-19.1163889,33.4833333,66.2,100.0,75.0,6.93,MZ,1600224629.0
Cape Town,-33.925839,18.423218,52.0,93.0,0.0,9.17,ZA,1600224629.0
San Luis,-33.295012,-66.335627,55.98,39.0,0.0,7.76,AR,1600224629.0
Vila Velha,-20.333333,-40.283333,75.99,88.0,75.0,11.41,BR,1600224630.0
Grand River South East,-20.2861111,57.775833299999995,,,,,MU,
Husavik,66.05,-17.35,39.2,80.0,100.0,6.93,IS,1600224630.0
Airai,7.3575,134.55777780000003,77.68,36.0,59.0,4.65,PW,1600224630.0
Steinbach,49.516667,-96.68333299999999,68.0,82.0,94.0,5.82,CA,1600224630.0
Port Lincoln,-34.72625,135.87442,68.16,48.0,99.0,6.29,AU,1600224631.0
Ingham,-18.645519,146.162476,59.0,77.0,1.0,9.24,AU,1600224631.0
Nizhniy Kuranakh,58.835278,125.486944,54.03,61.0,100.0,4.5,RU,1600224631.0
Mareeba,-16.995001000000002,145.423233,82.99,58.0,25.0,3.0,AU,1600224631.0
Bayshore Gardens,27.425,-82.5905556,81.0,94.0,100.0,7.78,US,1600224631.0
Kushima,31.458333000000003,131.23333300000002,73.4,94.0,75.0,5.82,JP,1600224632.0
Belokurikha,51.9959,84.9896,69.6,38.0,100.0,13.24,RU,1600224632.0
Gobabis,-22.45,18.966666699999998,48.16,38.0,21.0,10.71,NA,1600224632.0
Dawei,14.083333300000001,98.2,80.56,84.0,96.0,2.51,MM,1600224632.0
Constantine,36.365,6.614722200000001,60.8,87.0,20.0,2.24,DZ,1600224632.0
Muyezerskiy,63.933333,31.65,39.52,91.0,100.0,2.44,RU,1600224633.0
Beni Mazar,28.503611100000004,30.7991667,71.78,77.0,0.0,13.06,EG,1600224633.0
Rincon,12.233333300000002,-68.33333329999999,77.0,73.0,90.0,9.17,AN,1600224633.0
Erenhot,43.6475,111.97666699999999,53.94,51.0,29.0,22.53,CN,1600224633.0
Padre Bernardo,-15.35,-48.5,69.03,30.0,0.0,4.36,BR,1600224634.0
Amderma,69.7576,61.6655,,,,,RU,
Tombouctou,16.7666667,-3.0166667,97.12,13.0,82.0,11.48,ML,1600224634.0
Hasaki,35.733333,140.833333,84.0,74.0,75.0,9.17,JP,1600224634.0
Quatre Cocos,-20.207777800000002,57.7625,69.01,60.0,75.0,9.17,MU,1600224498.0
Srednekolymsk,67.45,153.683333,42.13,86.0,100.0,7.52,RU,1600224634.0
Kavali,14.916667000000002,79.983333,81.86,72.0,85.0,16.75,IN,1600224635.0
Shimoda,34.666667,138.95,77.0,88.0,75.0,10.29,JP,1600224635.0
Nadym,65.533333,72.516667,51.58,79.0,43.0,12.21,RU,1600224635.0
Beloha,-25.1666667,45.05,63.5,97.0,19.0,4.25,MG,1600224635.0
Port Elizabeth,13.016666699999998,-61.2333333,55.4,93.0,75.0,3.36,ZA,1600224389.0
Pisco,-13.7,-76.2166667,62.6,82.0,96.0,11.41,PE,1600224636.0
Punta Arenas,-53.15,-70.916667,32.0,85.0,0.0,8.05,CL,1600224547.0
Haines Junction,60.75,-137.5,48.7,51.0,93.0,5.17,CA,1600224636.0
Katangli,51.7,143.23333300000002,61.54,80.0,100.0,9.53,RU,1600224636.0
Ancud,-41.869721999999996,-73.820278,41.0,86.0,5.0,5.01,CL,1600224636.0
Murchison,-41.8,172.333333,50.04,68.0,95.0,6.26,NZ,1600224637.0
Chara,56.906389000000004,118.263056,46.29,72.0,94.0,5.79,RU,1600224637.0
Maloshuyka,63.712093,37.449603,,,,,RU,
Porto Velho,-8.766667,-63.9,78.8,94.0,26.0,0.63,BR,1600224365.0
Aldan,58.603056,125.389444,49.3,66.0,99.0,6.78,RU,1600224637.0
Biak,-1.166007,136.09717,82.42,66.0,96.0,9.66,ID,1600224637.0
Marcona,-15.211944400000002,-75.11027779999999,,,,,PE,
Victoria,-32.619888,-60.153907,91.99,89.0,50.0,10.0,SC,1600224520.0
Vicuna,-30.031944,-70.708056,53.6,76.0,90.0,3.36,CL,1600224382.0
Akil,20.25,-89.35,75.7,98.0,100.0,3.67,MX,1600224638.0
East London,-33.011051,27.910049,61.88,84.0,99.0,10.2,ZA,1600224638.0
Mergui,12.433333300000001,98.6,,,,,MM,
Alta Floresta,-9.9,-55.9,78.31,30.0,18.0,2.84,BR,1600224639.0
Hirara,24.803788,125.302222,87.8,74.0,75.0,12.75,JP,1600224639.0
Yellowknife,62.45,-114.35,33.8,50.0,20.0,4.7,CA,1600224559.0
Hawalli,29.332778,48.028611,84.2,51.0,5.0,4.7,KW,1600224639.0
Krasne,46.130884,32.769098,55.4,93.0,6.0,6.71,UA,1600224639.0
Bredasdorp,-34.532154,20.040308,48.2,81.0,0.0,5.82,ZA,1600224639.0
Cortez,37.3488889,-108.5852778,64.4,45.0,1.0,3.36,US,1600224633.0
Kahului,20.894722199999997,-156.47,89.6,46.0,1.0,23.04,US,1600224565.0
Umzimvubu,-31.622911,29.544772,,,,,ZA,
Camacha,33.083333,-16.333333,73.4,78.0,20.0,5.82,PT,1600224640.0
Sur,33.271111100000006,35.196388899999995,83.7,54.0,57.0,4.07,OM,1600224640.0
Cascais,38.69745,-9.423141000000001,70.0,96.0,80.0,3.78,PT,1600224641.0
Millinocket,45.6572222,-68.7102778,50.0,71.0,90.0,1.63,US,1600224641.0
Bathsheba,13.2166667,-59.5166667,82.4,78.0,20.0,12.75,BB,1600224641.0
Kavaratti,10.566667,72.616667,81.68,80.0,67.0,17.76,IN,1600224641.0
Rawah,34.468611100000004,41.9169444,80.22,26.0,0.0,5.39,IQ,1600224641.0
Shenzhen,22.533333,114.13333300000001,93.99,74.0,40.0,6.71,CN,1600224642.0
Namibe,-15.196110999999998,12.152222,59.25,82.0,0.0,4.9,AO,1600224642.0
Warqla,31.9575,5.3277778,,,,,DZ,
Tumannyy,68.884722,35.694444,,,,,RU,
Tiksi,71.68722199999999,128.869444,44.85,71.0,33.0,2.33,RU,1600224642.0
Eravur,7.7666667,81.6,84.51,64.0,60.0,3.49,LK,1600224642.0
Myre,69.103611,15.949167000000001,39.2,86.0,78.0,4.7,NO,1600224643.0
Ohara,35.25,140.383333,84.0,74.0,75.0,9.17,JP,1600224643.0
Tooele,40.5308333,-112.2975,73.99,28.0,1.0,8.05,US,1600224643.0
Linden,6.0,-58.3,77.0,100.0,40.0,4.7,GY,1600224643.0
Tubruq,32.083611100000006,23.9763889,,,,,LY,
Yerbogachen,61.276667,108.010833,57.25,54.0,8.0,3.0,RU,1600224644.0
Lazaro Cardenas,17.958333,-102.2,79.65,83.0,100.0,3.38,MX,1600224644.0
Olds,51.783333,-114.1,46.99,91.0,99.0,1.77,CA,1600224644.0
Snasa,64.25,12.366667,43.2,87.0,100.0,8.03,NO,1600224644.0
Whitehorse,60.716667,-135.05,59.0,33.0,75.0,12.75,CA,1600224419.0
Rokytne,51.279599,27.214004,57.13,88.0,67.0,3.8,UA,1600224645.0
Dubbo,-32.24295,148.604843,73.4,46.0,0.0,19.46,AU,1600224645.0
Mahebourg,-20.4080556,57.7,68.0,60.0,75.0,9.17,MU,1600224645.0
Muros,42.776173,-9.060316,57.99,93.0,70.0,3.0,ES,1600224645.0
Acajutla,13.592777800000002,-89.8275,73.0,100.0,100.0,3.74,SV,1600224646.0
Acapulco,16.85,-99.916667,82.4,83.0,75.0,2.24,MX,1600224646.0
Anupgarh,29.191111,73.208611,93.81,35.0,49.0,2.73,IN,1600224646.0
Bethel,60.792222200000005,-161.7558333,51.01,87.0,1.0,3.42,US,1600224644.0
Saint George,32.381666700000004,-64.6780556,91.4,9.0,1.0,10.29,BM,1600224502.0
Cidreira,-30.183333,-50.2,59.49,88.0,100.0,17.74,BR,1600224646.0
Butaritari,3.0833333,172.81666669999998,83.84,73.0,47.0,16.98,KI,1600224647.0
Te Anau,-45.416667,167.716667,46.76,85.0,99.0,7.07,NZ,1600224562.0
Sentyabrskiy,45.266667,148.5,,,,,RU,
Am Timan,11.0333333,20.283333300000002,70.75,94.0,50.0,3.22,TD,1600224647.0
Sibolga,1.7427,98.7792,85.37,59.0,76.0,2.89,ID,1600224647.0
Tomatlan,19.933332999999998,-105.25,78.04,90.0,100.0,1.74,MX,1600224648.0
Raduzhnyy,59.483332999999995,49.65,53.24,73.0,0.0,14.54,RU,1600224648.0
Hailun,47.45,126.933333,56.89,92.0,100.0,16.78,CN,1600224648.0
Samarkand,39.654166700000005,66.9597222,62.6,42.0,0.0,6.93,UZ,1600224648.0
Redlands,34.055555600000005,-117.18166670000001,89.6,14.0,5.0,8.05,US,1600224508.0
San Policarpo,12.1791,125.5072,79.86,89.0,100.0,16.89,PH,1600224648.0
Nizwa,22.9333333,57.533333299999995,83.46,27.0,100.0,2.24,OM,1600224649.0
Ouegoa,-20.35,164.43333330000002,75.11,60.0,68.0,19.39,NC,1600224649.0
Wahran,35.6911111,-0.6416666999999999,,,,,DZ,
Kieta,-6.2166667,155.6333333,82.08,67.0,100.0,2.46,PG,1600224649.0
Tahta,26.768055600000004,31.493888899999998,78.8,39.0,0.0,6.93,EG,1600224649.0
Valenca,-13.366667000000001,-39.083333,70.14,95.0,49.0,3.0,BR,1600224650.0
Luderitz,-26.648055600000003,15.159444400000002,51.64,70.0,0.0,11.52,NA,1600224650.0
Belushya Guba,71.539238,52.332117,,,,,RU,
Eydhafushi,5.116666700000001,73.0333333,82.31,77.0,61.0,8.59,MV,1600224650.0
Esperance,-33.86013,121.88259099999999,57.2,100.0,75.0,14.99,AU,1600224650.0
Sitka,57.0530556,-135.33,60.8,63.0,20.0,9.17,US,1600224651.0
Antofagasta,-23.65,-70.4,57.2,76.0,75.0,12.75,CL,1600224651.0
Dapaong,10.863888900000001,0.205,74.39,92.0,99.0,7.09,TG,1600224651.0
Nanyuki,0.0166667,37.0666667,55.42,69.0,0.0,5.57,KE,1600224651.0
Gbarnga,6.995555599999999,-9.4722222,70.61,99.0,74.0,1.59,LR,1600224651.0
Fortuna,-5.683333,-44.066666999999995,70.0,88.0,1.0,5.82,US,1600224375.0
Kaeo,-35.1,173.783333,64.99,32.0,2.0,8.01,NZ,1600224652.0
Chokurdakh,70.633333,147.916667,41.88,65.0,98.0,7.49,RU,1600224652.0
Bambous Virieux,-20.3427778,57.7575,69.01,60.0,75.0,9.17,MU,1600224652.0
Saryshagan,46.119167,73.619167,,,,,KZ,
San-Pedro,4.748508,-6.636301,74.05,91.0,88.0,7.49,CI,1600224653.0
Soure,-0.733333,-48.516667,80.29,83.0,5.0,12.26,BR,1600224653.0
Nhulunbuy,-12.18652,136.78201299999998,84.2,62.0,75.0,17.22,AU,1600224653.0
Iqaluit,63.733332999999995,-68.5,33.8,88.0,75.0,8.05,CA,1600224653.0
Bacolod,8.116667,123.91666699999999,78.31,90.0,100.0,10.87,PH,1600224653.0
Ryde,50.716667,-1.166667,66.99,82.0,71.0,3.0,GB,1600224654.0
Kandy,7.296388900000001,80.635,77.36,72.0,98.0,6.04,LK,1600224654.0
San Cristobal,9.878093,-75.252482,67.86,90.0,100.0,2.13,EC,1600224654.0
Pingliang,35.539167,106.68611100000001,65.89,29.0,95.0,5.99,CN,1600224654.0
Tsihombe,-25.3,45.4833333,,,,,MG,
Codrington,17.6333333,-61.8333333,63.12,62.0,100.0,9.06,AG,1600224655.0
Vila Franca Do Campo,37.716667,-25.433332999999998,64.4,63.0,20.0,9.17,PT,1600224655.0
Faya,17.9166667,19.1166667,66.2,59.0,59.0,3.94,TD,1600224655.0
Burica,8.0333333,-82.8666667,,,,,PA,
Kristinehamn,59.333332999999996,14.116667000000001,57.2,100.0,82.0,3.36,SE,1600224655.0
Raudeberg,61.98055600000001,5.133611,46.99,87.0,100.0,28.16,NO,1600224656.0
Aleksandrov Gay,50.147043,48.570368,51.08,65.0,0.0,13.78,RU,1600224656.0
Mys Shmidta,68.93333299999999,-179.5,,,,,RU,
Petatlan,17.516667,-101.266667,78.17,85.0,64.0,2.46,MX,1600224656.0
Dingle,52.1408333,-10.2688889,75.42,95.0,100.0,3.83,IE,1600224656.0
Long Beach,33.76694439999999,-118.18833329999998,77.0,44.0,1.0,9.17,US,1600224468.0
Torbay,47.65,-52.733332999999995,51.01,61.0,75.0,9.17,CA,1600224657.0
Yulara,-25.245291,130.980545,87.8,15.0,0.0,12.75,AU,1600224657.0
Lebu,-37.616667,-73.65,49.66,95.0,87.0,2.35,CL,1600224657.0
Ginda,15.4491667,39.0886111,80.6,88.0,75.0,2.08,ER,1600224657.0
Cockburn Town,24.033333300000002,-74.5166667,82.4,78.0,20.0,11.41,TC,1600224658.0
Provideniya,64.383333,-173.3,50.0,81.0,90.0,6.71,RU,1600224658.0
Sagua La Grande,22.806666699999997,-80.0755556,78.8,88.0,40.0,4.7,CU,1600224658.0
Gavle,60.666667000000004,17.166667,57.0,96.0,100.0,1.99,SE,1600224400.0
Adrar,27.9,-0.2833333,95.61,16.0,1.0,6.73,DZ,1600224658.0
Poum,-20.2333333,164.0166667,73.51,70.0,86.0,19.57,NC,1600224659.0
Cherskiy,68.75,161.3,43.03,79.0,100.0,2.53,RU,1600224659.0
Beringovskiy,63.05,179.316667,48.51,84.0,100.0,11.39,RU,1600224659.0
Mpongwe,-13.5333333,28.15,65.71,45.0,0.0,5.77,ZM,1600224659.0
Terrace,54.5,-128.583333,62.6,67.0,20.0,2.24,CA,1600224659.0
Destin,30.3933333,-86.4958333,75.2,94.0,90.0,19.46,US,1600224382.0
Temyasovo,52.99333299999999,58.101389000000005,44.6,75.0,75.0,15.66,RU,1600224660.0
Ust-Kamchatsk,56.236667000000004,162.518889,,,,,RU,
Nago,26.588055999999998,127.97611100000002,87.8,84.0,75.0,13.87,JP,1600224660.0
Yarmouth,43.833333,-66.116667,52.0,87.0,1.0,4.23,CA,1600224660.0
Lagoa,37.135349,-8.453188,65.48,68.0,90.0,19.46,PT,1600224660.0
Khadyzhensk,44.4258,39.5362,56.41,67.0,0.0,2.35,RU,1600224661.0
Koslan,63.456415,48.898912,45.79,90.0,100.0,11.03,RU,1600224661.0
Clyde River,70.45,-68.56666700000001,33.8,93.0,75.0,11.41,CA,1600224661.0
Nouadhibou,20.9,-17.0666667,76.46,77.0,0.0,9.82,MR,1600224661.0
Glasgow,55.833332999999996,-4.25,57.99,93.0,90.0,1.12,US,1600224662.0
Linjiang,41.806944,126.90777800000001,60.17,87.0,100.0,3.8,CN,1600224662.0
Ludvika,60.15,15.183333,57.2,93.0,77.0,3.36,SE,1600224662.0
Ransang,8.960278,117.582778,79.03,89.0,100.0,16.28,PH,1600224662.0
Korla,41.759722,86.14694399999999,70.75,23.0,0.0,11.79,CN,1600224663.0
Kjollefjord,70.93333299999999,27.35,45.21,84.0,100.0,10.18,NO,1600224663.0
Port Said,31.266666700000002,32.3,77.0,83.0,20.0,9.17,EG,1600224663.0
Jalu,29.0333333,21.55,82.06,32.0,0.0,9.28,LY,1600224664.0
Tigil,57.8,158.666667,48.18,92.0,99.0,7.09,RU,1600224664.0
Yichun,27.833333000000003,114.4,62.15,69.0,100.0,10.98,CN,1600224664.0
Leningradskiy,69.383333,178.416667,38.39,91.0,100.0,7.09,RU,1600224664.0
Touros,-5.2,-35.466667,73.4,94.0,40.0,4.7,BR,1600224664.0
Mercedes,-34.651455,-59.430676,50.0,77.0,77.0,1.99,AR,1600224665.0
Puerto Ayora,-0.75,-90.3166667,66.99,91.0,65.0,4.0,EC,1600224665.0
Tasiilaq,65.6,-37.6333333,33.8,93.0,100.0,38.03,GL,1600224665.0
Kalmunai,7.4166667,81.8166667,83.91,66.0,44.0,3.8,LK,1600224665.0
Poya,-21.35,165.15,76.37,54.0,53.0,11.05,NC,1600224666.0
Zabol,31.0287,61.5012,67.62,21.0,0.0,3.96,IR,1600224666.0
Makakilo City,21.346944399999998,-158.08583330000002,87.8,66.0,75.0,10.29,US,1600224666.0
Warnes,-17.5,-63.1666667,68.0,72.0,0.0,4.7,BO,1600224666.0
Anar Darreh,32.758697999999995,61.653969,,,,,AF,
Salalah,17.0175,54.082777799999995,80.6,88.0,40.0,2.24,OM,1600224608.0
Tazovskiy,67.466667,78.7,50.72,78.0,52.0,13.31,RU,1600224667.0
Wanaka,-44.7,169.15,50.77,62.0,61.0,13.91,NZ,1600224667.0
Mirnyy,61.332893000000006,44.535982000000004,53.6,50.0,0.0,4.47,RU,1600224667.0
Sao Filipe,14.9,-24.5166667,79.32,82.0,87.0,7.31,CV,1600224667.0
Safaga,26.733333299999998,33.9333333,84.2,39.0,0.0,5.82,EG,1600224668.0
Santa Ana,9.321247,-74.568478,82.4,44.0,75.0,3.27,PE,1600224594.0
Half Moon Bay,37.4636111,-122.4275,68.0,93.0,90.0,8.05,US,1600224379.0
Sainte-Maxime,43.309715999999995,6.628328,68.0,72.0,0.0,3.36,FR,1600224668.0
Tarudant,30.471106,-8.880651,,,,,MA,
North Myrtle Beach,33.8158333,-78.6802778,73.4,69.0,1.0,10.29,US,1600224575.0
Ijaki,-1.9166667000000002,175.58333330000002,,,,,KI,
Vytegra,61.006364000000005,36.448111,43.47,91.0,72.0,1.39,RU,1600224669.0
Lakatoro,-16.1166667,167.41666669999998,82.4,69.0,75.0,11.41,VU,1600224669.0
Richard Toll,16.466666699999998,-15.683333300000001,,,,,SN,
Fare,-16.7,-151.0166667,78.93,76.0,0.0,13.94,PF,1600224669.0
